City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
240,Faya,SA,2021-07-20 20:18:50,18.3851,42.4509,64.51,80,99,6.04
241,Banda Aceh,ID,2021-07-20 20:18:50,5.5577,95.3222,79.79,79,100,14.41
242,Tautira,PF,2021-07-20 20:18:51,-17.7333,-149.15,84.22,81,30,23.47
243,Catamarca,AR,2021-07-20 20:18:51,-28.4696,-65.7852,75.65,31,0,1.99
244,Nueve De Julio,AR,2021-07-20 20:13:52,-35.4444,-60.8831,63.72,42,6,7.36
245,Kununurra,AU,2021-07-20 20:18:51,-15.7667,128.7333,53.58,76,86,0.0
246,Port Hardy,CA,2021-07-20 20:18:51,50.6996,-127.4199,62.78,77,75,9.22
247,Moose Factory,CA,2021-07-20 20:18:52,51.2585,-80.6094,69.8,42,1,10.36
248,Morondava,MG,2021-07-20 20:18:52,-20.2833,44.2833,72.1,76,3,10.07
249,Tiksi,RU,2021-07-20 20:18:52,71.6872,128.8694,43.75,80,46,3.38
250,Port Shepstone,ZA,2021-07-20 20:18:52,-30.7414,30.455,62.8,47,100,5.57
251,Empalme,MX,2021-07-20 20:18:53,27.9667,-110.8167,101.91,71,20,18.41
252,Formosa Do Rio Preto,BR,2021-07-20 20:18:53,-11.0483,-45.1931,90.91,19,0,6.76
253,Peniche,PT,2021-07-20 20:18:53,39.3558,-9.3811,67.48,85,96,17.18
254,Sorland,NO,2021-07-20 20:18:53,67.667,12.6934,48.27,78,100,20.94
255,Aksay,RU,2021-07-20 20:18:54,47.26,39.87,90.25,38,0,5.01
256,Chardara,KZ,2021-07-20 20:18:54,41.2547,67.9692,81.7,33,6,8.55
257,Zonguldak,TR,2021-07-20 20:18:54,41.25,31.8333,67.55,86,0,4.18
258,Mosquera,CO,2021-07-20 20:14:52,4.7059,-74.2302,64.49,55,40,9.22
259,Joshimath,IN,2021-07-20 20:18:54,30.5667,79.5667,70.63,95,99,0.89
260,Northam,GB,2021-07-20 20:18:55,51.0333,-4.2167,74.3,81,40,2.73
261,Birao,CF,2021-07-20 20:18:55,10.2849,22.7882,71.74,94,61,7.05
262,Nanortalik,GL,2021-07-20 20:18:55,60.1432,-45.2371,48.7,79,100,14.85
263,Rovaniemi,FI,2021-07-20 20:18:56,66.5,25.7167,45.81,87,0,3.44
264,Fort-Shevchenko,KZ,2021-07-20 20:18:56,44.5086,50.263,83.66,64,0,6.76
265,Shahr-E Babak,IR,2021-07-20 20:18:56,30.1165,55.1186,79.16,14,2,16.58
266,Ust-Maya,RU,2021-07-20 20:18:56,60.4167,134.5333,66.88,81,71,2.57
267,Luderitz,NA,2021-07-20 20:18:57,-26.6481,15.1594,55.42,63,0,25.19
268,Yumen,CN,2021-07-20 20:18:57,40.2833,97.2,68.16,55,92,14.34
269,Tahoua,NE,2021-07-20 20:18:57,14.8888,5.2692,91.94,41,6,9.04
270,Kaeo,NZ,2021-07-20 20:18:58,-35.1,173.7833,52.32,98,100,13.8
271,Kapuskasing,CA,2021-07-20 20:18:58,49.4169,-82.4331,69.89,42,75,9.22
272,Chokurdakh,RU,2021-07-20 20:18:58,70.6333,147.9167,51.85,88,86,10.38
273,Berlevag,NO,2021-07-20 20:18:58,70.8578,29.0864,44.6,81,75,16.11
274,San Carlos,VE,2021-07-20 20:18:59,9.6612,-68.5827,81.73,76,85,4.45
275,Beloha,MG,2021-07-20 20:18:59,-25.1667,45.05,70.95,60,15,6.93
276,Murgab,TM,2021-07-20 20:18:59,37.4966,61.9714,84.07,39,3,4.61
277,Lompoc,US,2021-07-20 20:18:59,34.6391,-120.4579,95.68,65,1,17.27
278,Marawi,PH,2021-07-20 20:19:00,7.9986,124.2928,69.66,90,100,5.28
279,Bellevue,US,2021-07-20 20:16:59,47.6104,-122.2007,68.23,76,90,3.0
280,Dingle,PH,2021-07-20 20:19:00,10.9995,122.6711,77.94,85,71,11.27
281,Pacific Grove,US,2021-07-20 20:19:00,36.6177,-121.9166,89.15,80,1,3.0
282,Ilo,PE,2021-07-20 20:19:01,-17.6394,-71.3375,59.86,82,90,6.91
283,Radzyn Podlaski,PL,2021-07-20 20:19:01,51.7833,22.6167,68.65,68,100,9.13
284,Hualmay,PE,2021-07-20 20:19:01,-11.0964,-77.6139,67.03,70,20,7.9
285,Dunkirk,FR,2021-07-20 20:19:02,51.05,2.3667,70.57,69,1,8.77
286,Fairbanks,US,2021-07-20 20:19:02,64.8378,-147.7164,81.61,42,1,4.61
287,Balkanabat,TM,2021-07-20 20:19:02,39.5108,54.3671,91.04,27,0,6.76
288,Port Keats,AU,2021-07-20 20:19:02,-14.25,129.55,65.98,29,18,8.77
289,Port Moresby,PG,2021-07-20 20:19:03,-9.4431,147.1797,74.28,86,99,5.82
290,Quthing,LS,2021-07-20 20:19:03,-30.4,27.7003,45.97,30,100,5.01
291,Clyde River,CA,2021-07-20 20:19:03,70.4692,-68.5914,39.43,93,40,9.22
292,Lavrentiya,RU,2021-07-20 20:19:03,65.5833,-171.0,45.68,91,100,9.55
293,Grand Gaube,MU,2021-07-20 20:19:04,-20.0064,57.6608,71.38,65,80,8.99
