City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
631,Mana,GF,76.53,overcast clouds,5.6592,-53.7767,LE SAMANA
632,Saint-Francois,FR,80.19,broken clouds,46.4154,3.9054,Manoir Du Bonheur
633,Carutapera,BR,88.23,broken clouds,-1.195,-46.02,Lidera
634,Sola,VU,74.07,scattered clouds,-13.8833,167.55,Leumerus Bungalows
635,Guaymango,SV,81.1,overcast clouds,13.7503,-89.8422,ARENA Guaymango. Sede Municipal
636,Puerto Leguizamo,CO,81.79,overcast clouds,-0.1934,-74.7819,la casona de juancho
640,Haverfordwest,GB,72.55,scattered clouds,51.8017,-4.9691,Coastal Cottages of Pembrokeshire
641,Ojinaga,MX,89.56,clear sky,29.5667,-104.4167,Suites Las Palmas
645,Roebourne,AU,70.65,light rain,-20.7833,117.1333,Latitude20 Roebourne Village
646,Dharchula,IN,76.84,overcast clouds,29.85,80.5333,Mahara Hotel
647,Masallatah,LY,85.57,clear sky,32.6167,14.0,Mustafa Taher Sowaidan
649,Acari,PE,70.03,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
650,Muisne,EC,77.11,overcast clouds,0.6,-80.0333,Quinta Samay
651,Westport,US,76.19,overcast clouds,41.1415,-73.3579,The Westport Inn
652,Quatre Cocos,MU,71.71,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
654,Ridgecrest,US,89.02,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
655,Kushima,JP,80.11,overcast clouds,31.4583,131.2333,Hanaoka
656,Vung Tau,VN,80.46,overcast clouds,10.346,107.0843,Green hotel
657,Ambon,ID,78.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
658,Vigrestad,NO,77.95,light rain,58.5667,5.7,Brusand Camping
660,Candido Mendes,BR,89.29,broken clouds,-1.4467,-45.7167,Quebrada Do Mlk PJL
662,Balkanabat,TM,89.06,clear sky,39.5108,54.3671,Nebitchi Hotel
663,Novopetrovskoye,RU,72.61,overcast clouds,55.9928,36.4719,Cottage village Slavenka
670,Pueblo Nuevo Solistahuacan,MX,70.97,broken clouds,17.1,-92.8833,Cabañas el DIAMANTE
671,Ca Mau,VN,78.03,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
672,Kalmunai,LK,83.52,light rain,7.4167,81.8167,VS Villa
673,Southend-On-Sea,GB,71.19,few clouds,51.5378,0.7143,Ilfracombe House Hotel
675,Jiayuguan,CN,77.74,overcast clouds,39.8167,98.3,Jiugang Hotel - Jiayuguan
677,Kulunda,RU,75.31,scattered clouds,52.566,78.9385,Kulunda 24
679,Zwedru,LR,81.5,overcast clouds,6.0667,-8.1281,Elijah Worjloh
680,Xingcheng,CN,74.57,broken clouds,40.6167,120.7167,New Century Hotel
682,Tatui,BR,81.64,clear sky,-23.3556,-47.8569,Hotel Del Fiol
